C1, 91.06, 59.97, 225.00, 10uF/16V, C-3216(TANTAL)
C10, 34.52, 55.39, 180.00, 4.7µF, C0402
C11, 2.74, 24.85, 90.00, 470nF - 50V, C0805
C12, 33.40, 65.49, 90.00, 6.8nF, C0402
C13, 34.56, 65.49, 90.00, 10nF, C0402
C14, 32.24, 65.49, 90.00, 22nF, C0402
C15, 34.52, 47.53, 180.00, 100nF, C0402
C16, 42.23, 66.00, 90.00, 6.8nF, C0402
C17, 84.43, 58.37, 225.00, 10pF, C0402
C18, 47.73, 41.33, 270.00, 18pF, C0402
C19, 45.16, 39.27, 0.00, 18pF, C0402
C2, 77.50, 57.48, 315.00, 20pF, C0402
C20, 34.52, 52.02, 180.00, 100nF, C0402
C21, 82.04, 60.83, 45.00, 10pF, C0402
C22, 86.85, 64.01, 45.00, 100nF, C0402
C23, 34.54, 43.56, 0.00, 10uF/16V, C-3216(TANTAL)
C24, 87.84, 63.08, 45.00, 100nF, C0402
C25, 89.69, 61.24, 45.00, 100nF, C0402
C26, 88.78, 62.17, 45.00, 100nF, C0402
C27, 85.93, 64.94, 45.00, 100nF, C0402
C28, 70.84, 54.51, 90.00, 1µF, C0402
C29, 79.83, 55.17, 135.00, 20pF, C0402
C3, 34.52, 48.65, 180.00, 100nF, C0402
C30, 5.05, 15.56, 90.00, 470nF - 50V, C0805
C31, 120.08, 20.27, 180.00, 470nF - 50V, C0805
C32, 120.08, 22.45, 180.00, 470nF - 50V, C0805
C33, 115.26, 20.32, 0.00, 470nF - 50V, C0805
C34, 115.26, 24.69, 0.00, 470nF - 50V, C0805
C35, 5.09, 20.33, 270.00, 470nF - 50V, C0805
C36, 5.09, 24.85, 90.00, 470nF - 50V, C0805
C37, 120.08, 24.64, 180.00, 470nF - 50V, C0805
C38, 2.69, 15.56, 90.00, 470nF - 50V, C0805
C39, 120.08, 18.08, 180.00, 470nF - 50V, C0805
C4, 34.52, 49.77, 180.00, 100nF, C0402
C40, 115.26, 18.14, 0.00, 470nF - 50V, C0805
C41, 115.26, 22.50, 0.00, 470nF - 50V, C0805
C42, 2.74, 20.33, 270.00, 470nF - 50V, C0805
C43, 5.12, 29.78, 270.00, 470nF - 50V, C0805
C44, 62.59, 78.23, 90.00, 10uF/16V, C-3216(TANTAL)
C45, 64.77, 77.29, 90.00, 100pF, C0402
C46, 52.37, 74.90, 270.00, 100pF, C0402
C47, 60.99, 65.34, 270.00, 22pF, C0402
C48, 55.60, 65.34, 90.00, 22pF, C0402
C49, 115.26, 15.95, 0.00, 470nF - 50V, C0805
C5, 34.52, 53.14, 180.00, 100nF, C0402
C50, 115.26, 11.58, 0.00, 470nF - 50V, C0805
C51, 120.08, 15.88, 180.00, 470nF - 50V, C0805
C52, 120.08, 11.58, 180.00, 470nF - 50V, C0805
C53, 115.26, 13.69, 0.00, 470nF - 50V, C0805
C54, 7.45, 29.78, 270.00, 470nF - 50V, C0805
C55, 120.08, 13.61, 180.00, 470nF - 50V, C0805
C56, 7.43, 24.85, 90.00, 470nF - 50V, C0805
C57, 7.43, 20.33, 270.00, 470nF - 50V, C0805
C58, 9.78, 29.78, 270.00, 470nF - 50V, C0805
C59, 9.78, 20.33, 270.00, 470nF - 50V, C0805
C6, 34.52, 50.90, 180.00, 100nF, C0402
