"Part";"Value";"Device";"Package";"Description";"HOUSEPART";"LCSCPART#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"POPULATE";"PROD_ID";"SF_ID";"SPICEPREFIX";"URL";"VALUE";
"C1";"10uF/16V";"C-3216(TANTAL)";"C-3216(TANTAL)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"20pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C3";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C4";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C5";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C6";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C7";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C8";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C9";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C10";"4.7µF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C11";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C12";"6.8nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C13";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C14";"22nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C15";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C16";"6.8nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C17";"10pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C18";"18pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C19";"18pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C20";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C21";"10pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C22";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C23";"10uF/16V";"C-3216(TANTAL)";"C-3216(TANTAL)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C24";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C25";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C26";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C27";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C28";"1µF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C29";"20pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C30";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C31";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C32";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C33";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C34";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C35";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C36";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C37";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C38";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C39";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C40";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C41";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C42";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C43";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C44";"10uF/16V";"C-3216(TANTAL)";"C-3216(TANTAL)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C45";"100pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C46";"100pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C47";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C48";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C49";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C50";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C51";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C52";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C53";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C54";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C55";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C56";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C57";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C58";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C59";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C60";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C61";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C62";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"CONN1";"CON-USB-F-MICRO-B-2-SD-47589-001_ALIKE";"CON-USB-F-MICRO-B-2-SD-47589-001_ALIKE";"CON_USB_MICRO-B-3";"Micro USB based on molex SD-47589-001";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D2";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D3";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D4";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D5";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
